"","valor","cantidad"
"1","a01-9500",2
"2","a01-11000",6
"3","a01-11500",8
"4","a01-12000",8
"5","a01-12500",8
"6","a01-10000",2
"7","a01-10500",2
"8","a01-13000",2
"9","a02-9500",2
"10","a03-12500",2
"11","a04-10000",4
"12","a04-10500",4
"13","a04-11000",4
"14","a04-11500",6
"15","a04-12000",6
"16","a04-12500",4
"17","a04-13000",2
"18","a05-9500",2
"19","a05-10500",2
"20","a05-11000",2
"21","a05-11500",4
"22","a05-12000",4
"23","a05-9000",2
"24","a06-12000",10
"25","a06-12500",6
"26","a06-11500",2
"27","a07-9500",2
"28","a08-10000",2
"29","a09-10500",2
"30","a09-11500",4
"31","a09-12000",6
"32","a10-11000",2
"33","a10-11500",4
"34","a10-12000",2
"35","a11-10000",2
"36","a11-10500",2
"37","a11-11000",8
"38","a11-11500",2
"39","a00-9500",2
"40","a00-10000",4
"41","a00-10500",4
"42","a00-11000",4
"43","a00-11500",4
"44","a00-12000",4
"45","a00-12500",4
"46","a00-13000",2
