"","valor","cantidad"
"1","b01-9500",2
"2","b01-10000",4
"3","b01-10500",6
"4","b01-11000",4
"5","b01-11500",4
"6","b01-12000",4
"7","b01-12500",6
"8","b01-13000",4
"9","b02-9500",2
"10","b02-10000",4
"11","b02-10500",4
"12","b02-11000",8
"13","b02-11500",4
"14","b02-12000",8
"15","b02-12500",12
"16","b02-13000",12
"17","b03-9500",2
"18","b03-10500",6
"19","b03-11000",8
"20","b03-11500",8
"21","b03-12000",8
"22","b03-12500",6
"23","b03-13000",6
"24","b03-10000",2
"25","b04-9500",2
"26","b04-10500",6
"27","b04-11000",6
"28","b04-11500",8
"29","b04-12000",12
"30","b04-12500",12
"31","b04-13000",12
"32","b04-10000",2
"33","b05-9500",2
"34","b05-10000",4
"35","b05-10500",4
"36","b05-11000",4
"37","b05-11500",8
"38","b05-12000",4
"39","b05-12500",4
"40","b05-13000",4
"41","b06-9500",2
"42","b06-10000",4
"43","b06-10500",4
"44","b06-11000",6
"45","b06-11500",10
"46","b06-12000",10
"47","b06-12500",10
"48","b06-13000",14
"49","b07-9500",2
"50","b07-10000",4
"51","b07-10500",6
"52","b07-11000",8
"53","b07-11500",10
"54","b07-12000",12
"55","b07-12500",12
"56","b07-13000",12
"57","b08-10000",4
"58","b08-10500",4
"59","b08-11000",4
"60","b08-11500",4
"61","b08-12000",6
"62","b08-12500",6
"63","b08-13000",4
"64","b09-9500",2
"65","b09-10000",4
"66","b09-10500",6
"67","b09-11000",8
"68","b09-11500",10
"69","b09-12000",10
"70","b09-12500",14
"71","b09-13000",10
"72","b10-11000",6
"73","b10-11500",8
"74","b10-12000",10
"75","b10-12500",8
"76","b10-13000",8
"77","b10-10000",2
"78","b10-10500",2
"79","b11-9500",2
"80","b11-10500",6
"81","b11-11000",6
"82","b11-11500",8
"83","b11-12000",12
"84","b11-12500",12
"85","b11-13000",12
"86","b11-10000",2
"87","b00-9500",2
"88","b00-10000",4
"89","b00-10500",6
"90","b00-11000",8
"91","b00-11500",10
"92","b00-12000",8
"93","b00-12500",12
"94","b00-13000",10
