"","b01-9500","b01-10000","b01-10500","b01-11000","b01-11500","b01-12000","b01-12500","b01-13000","b01-9000","b02-9500","b02-10000","b02-10500","b02-11000","b02-11500","b02-12000","b02-12500","b02-13000","b02-9000","b03-9500","b03-10000","b03-10500","b03-11000","b03-11500","b03-12000","b03-12500","b03-13000","b03-9000","b04-9500","b04-10000","b04-10500","b04-11000","b04-11500","b04-12000","b04-12500","b04-13000","b04-9000","b05-9500","b05-10000","b05-10500","b05-11000","b05-11500","b05-12000","b05-12500","b05-13000","b05-9000","b06-9500","b06-10000","b06-10500","b06-11000","b06-11500","b06-12000","b06-12500","b06-13000","b06-9000","b07-9500","b07-10000","b07-10500","b07-11000","b07-11500","b07-12000","b07-12500","b07-13000","b07-9000","b08-9500","b08-10000","b08-10500","b08-11000","b08-11500","b08-12000","b08-12500","b08-13000","b08-9000","b09-9500","b09-10000","b09-10500","b09-11000","b09-11500","b09-12000","b09-12500","b09-13000","b09-9000","b10-9500","b10-10000","b10-10500","b10-11000","b10-11500","b10-12000","b10-12500","b10-13000","b10-9000","b11-9500","b11-10000","b11-10500","b11-11000","b11-11500","b11-12000","b11-12500","b11-13000","b11-9000","b00-9500","b00-10000","b00-10500","b00-11000","b00-11500","b00-12000","b00-12500","b00-13000","b00-9000"
"b01-9000",0.00547855324254737,0.00585709908528413,0.00588927004181748,0.00588927004181748,0.0107756211025094,0.00784167155890147,0.00588927004181748,0.00920678032104663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b01-9500",NA,0.00585709908528413,0.00585709908528413,0.00788217000476816,0.0106733709462931,0.00925244560353356,0.00909069801592506,0.0216532132701339,0.00547855324254737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b01-10000",0.00585709908528413,NA,0.0246509670245358,0.0844561424571375,0.0829310820849621,0.108185366530457,0.414216178242525,0.959274289614063,0.00585709908528413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b01-10500",0.00585709908528413,0.0246509670245358,NA,0.608665227427146,0.959274289614063,0.838256486385826,0.412996851326308,0.167976200409836,0.00588927004181748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b01-11000",0.00788217000476816,0.0844561424571375,0.608665227427146,NA,0.413302379522621,0.506795411404635,0.918548717923772,0.44399437602301,0.00588927004181748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b01-11500",0.0106733709462931,0.0829310820849621,0.959274289614063,0.413302379522621,NA,0.91774110086988,0.507072182834989,0.307434165927395,0.0107756211025094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b01-12000",0.00925244560353356,0.108185366530457,0.838256486385826,0.506795411404635,0.91774110086988,NA,0.44399437602301,0.091541265488977,0.00784167155890147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b01-12500",0.00909069801592506,0.414216178242525,0.412996851326308,0.918548717923772,0.507072182834989,0.44399437602301,NA,0.0238132962382881,0.00588927004181748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b01-13000",0.0216532132701339,0.959274289614063,0.167976200409836,0.44399437602301,0.307434165927395,0.091541265488977,0.0238132962382881,NA,0.00920678032104663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b02-9000",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014179427847168,0.00585709908528413,0.00390625,0.00588927004181748,0.00582502419946152,0.00588927004181748,0.00585709908528413,0.00582502419946152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
