"","valor","cantidad"
"1","b01-9000",67
"2","a06-11000",44
"3","a06-11500",48
"4","a06-12000",57
"5","a11-9500",54
"6","a11-10000",54
"7","a11-10500",52
"8","a11-11000",58
"9","b01-9500",79
"10","b01-10000",93
"11","b01-10500",96
"12","b01-11000",94
"13","b01-11500",95
"14","b01-12000",96
"15","b01-12500",96
"16","b01-13000",93
"17","a01-11000",28
"18","a01-11500",32
"19","a01-12000",31
"20","a01-12500",32
"21","a01-13000",27
"22","b02-9000",38
"23","a06-9500",28
"24","a06-10000",36
"25","a06-10500",37
"26","a06-12500",45
"27","a06-13000",35
"28","a10-12000",28
"29","a11-9000",29
"30","a11-11500",41
"31","a11-12000",35
"32","a11-12500",34
"33","a11-13000",30
"34","b02-9500",49
"35","b02-10000",57
"36","b02-10500",57
"37","b02-11000",64
"38","b02-11500",62
"39","b02-12000",69
"40","b02-12500",75
"41","b02-13000",80
"42","b03-9000",25
"43","a06-9000",25
"44","a10-11500",27
"45","a10-12500",27
"46","b03-9500",41
"47","b03-10000",47
"48","b03-10500",57
"49","b03-11000",64
"50","b03-11500",66
"51","b03-12000",65
"52","b03-12500",67
"53","b03-13000",65
"54","a01-9000",16
"55","a01-9500",22
"56","a01-10000",23
"57","a01-10500",23
"58","a02-9000",17
"59","a02-9500",20
"60","a02-10000",19
"61","a02-10500",20
"62","a02-11000",20
"63","a02-11500",21
"64","a02-12000",20
"65","a02-12500",20
"66","a02-13000",22
"67","a03-9000",11
"68","a03-9500",11
"69","a03-10000",15
"70","a03-10500",13
"71","a03-11000",13
"72","a03-11500",15
"73","a03-12000",13
"74","a03-12500",16
"75","a03-13000",13
"76","a05-9000",23
"77","a05-9500",23
"78","a05-10000",23
"79","a05-10500",23
"80","a05-11000",24
"81","a05-11500",23
"82","a05-12000",23
"83","a05-12500",20
"84","a05-13000",20
"85","a07-11000",10
"86","a07-11500",11
"87","a07-12000",11
"88","a07-12500",11
"89","a07-13000",11
"90","a08-9000",10
"91","a08-10000",11
"92","a08-10500",10
"93","a08-11500",10
"94","a08-12500",10
"95","a09-9000",16
"96","a09-9500",19
"97","a09-10000",16
"98","a09-10500",20
"99","a09-11000",20
"100","a09-11500",22
"101","a09-12000",21
"102","a09-12500",22
"103","a09-13000",20
"104","a10-9000",19
"105","a10-9500",20
"106","a10-10000",24
"107","a10-10500",24
"108","a10-11000",24
"109","a10-13000",24
"110","b04-9000",9
"111","b04-9500",9
"112","b04-10000",10
"113","b04-10500",10
"114","b04-11000",11
"115","b04-11500",12
"116","b04-12000",17
"117","b04-12500",19
"118","b04-13000",20
"119","b05-9000",24
"120","b05-9500",40
"121","b05-10000",51
"122","b05-10500",59
"123","b05-11000",59
"124","b05-11500",67
"125","b05-12000",70
"126","b05-12500",68
"127","b05-13000",69
"128","b06-9000",32
"129","b06-9500",47
"130","b06-10000",53
"131","b06-10500",66
"132","b06-11000",71
"133","b06-11500",75
"134","b06-12000",83
"135","b06-12500",83
"136","b06-13000",91
"137","b07-9000",11
"138","b07-9500",14
"139","b07-10000",21
"140","b07-10500",32
"141","b07-11000",39
"142","b07-11500",47
"143","b07-12000",54
"144","b07-12500",65
"145","b07-13000",69
"146","b08-9000",86
"147","b08-9500",95
"148","b08-10000",96
"149","b08-10500",96
"150","b08-11000",95
"151","b08-11500",98
"152","b08-12000",98
"153","b08-12500",99
"154","b08-13000",96
"155","b09-9000",61
"156","b09-9500",73
"157","b09-10000",84
"158","b09-10500",97
"159","b09-11000",108
"160","b09-11500",108
"161","b09-12000",108
"162","b09-12500",108
"163","b09-13000",108
"164","b10-9000",58
"165","b10-9500",67
"166","b10-10000",72
"167","b10-10500",75
"168","b10-11000",86
"169","b10-11500",90
"170","b10-12000",94
"171","b10-12500",94
"172","b10-13000",94
"173","b11-9000",79
"174","b11-9500",94
"175","b11-10000",96
"176","b11-10500",100
"177","b11-11000",105
"178","b11-11500",108
"179","b11-12000",108
"180","b11-12500",108
"181","b11-13000",108
"182","a04-9000",9
"183","a04-9500",9
"184","a04-10000",9
"185","a04-10500",9
"186","a04-11000",9
"187","a04-11500",9
"188","a04-12000",9
"189","a04-12500",9
"190","a04-13000",9
"191","a07-9000",9
"192","a07-9500",9
"193","a07-10000",9
"194","a07-10500",9
"195","a08-9500",9
"196","a08-11000",9
"197","a08-12000",9
"198","a08-13000",9
"199","a00-9000",1
"200","a00-9500",2
"201","a00-10000",3
"202","a00-10500",3
"203","a00-11000",3
"204","a00-11500",3
"205","a00-12000",3
"206","a00-12500",3
"207","a00-13000",3
