"","b01-9000","b01-9500","b01-10000","b01-10500","b01-11000","b01-11500","b01-12000","b01-12500","b01-13000","b02-9000","b02-9500","b02-10000","b02-10500","b02-11000","b02-11500","b02-12000","b02-12500","b02-13000","b03-9000","b03-9500","b03-10000","b03-10500","b03-11000","b03-11500","b03-12000","b03-12500","b03-13000","b04-9000","b04-9500","b04-10000","b04-10500","b04-11000","b04-11500","b04-12000","b04-12500","b04-13000","b05-9000","b05-9500","b05-10000","b05-10500","b05-11000","b05-11500","b05-12000","b05-12500","b05-13000","b06-9000","b06-9500","b06-10000","b06-10500","b06-11000","b06-11500","b06-12000","b06-12500","b06-13000","b07-9000","b07-9500","b07-10000","b07-10500","b07-11000","b07-11500","b07-12000","b07-12500","b07-13000","b08-9000","b08-9500","b08-10000","b08-10500","b08-11000","b08-11500","b08-12000","b08-12500","b08-13000","b09-9000","b09-9500","b09-10000","b09-10500","b09-11000","b09-11500","b09-12000","b09-12500","b09-13000","b10-9000","b10-9500","b10-10000","b10-10500","b10-11000","b10-11500","b10-12000","b10-12500","b10-13000","b11-9000","b11-9500","b11-10000","b11-10500","b11-11000","b11-11500","b11-12000","b11-12500","b11-13000","b00-9000","b00-9500","b00-10000","b00-10500","b00-11000","b00-11500","b00-12000","b00-12500","b00-13000"
"a01-9000",0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.0526332123314482,0.00390625,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.431640625,0.02734375,0.013671875,0.005859375,0.001953125,0.001953125,0.001953125,0.001953125,0.00390625,0.001953125,0.001953125,0.00390625,0.009765625,0.001953125,0.00390625,0.064453125,0.375,0.625,0.845703125,0.064453125,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.10546875,0.001953125,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.01953125,0.193359375,0.75961448880584,0.193359375,0.01953125,0.005859375,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
"a01-9500",0.005859375,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.76953125,0.083984375,0.00390625,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.556640625,0.4921875,0.130859375,0.037109375,0.02734375,0.013671875,0.013671875,0.0248385017048833,0.013671875,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.00390625,0.048828125,0.845703125,0.02734375,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.064453125,0.193359375,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.013671875,0.232421875,0.625,0.16015625,0.02734375,0.005859375,0.005859375,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.00588927004181748,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.009765625,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
"a01-10000",0.005859375,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.845703125,0.10546875,0.00390625,0.00588927004181748,0.001953125,0.00588927004181748,0.001953125,0.00588927004181748,0.001953125,0.4921875,0.6953125,0.193359375,0.048828125,0.013671875,0.005859375,0.005859375,0.009765625,0.013671875,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.00390625,0.00588927004181748,0.005859375,0.0322007647525047,1,0.037109375,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.048828125,0.358639170461243,0.02734375,0.00390625,0.00390625,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.0143692894436029,0.083984375,1,0.193359375,0.01953125,0.001953125,0.00390625,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.005859375,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
"a01-10500",0.02734375,0.00390625,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.193359375,0.556640625,0.00390625,0.00390625,0.001953125,0.001953125,0.005859375,0.001953125,0.001953125,0.232421875,0.322265625,0.4921875,0.064453125,0.02734375,0.0189811540949829,0.01953125,0.01953125,0.048828125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.009765625,0.322265625,0.16015625,0.048828125,0.02734375,0.013671875,0.00390625,0.009765625,0.01953125,0.013671875,1,0.10546875,0.037109375,0.02734375,0.009765625,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.009765625,0.064453125,0.4921875,1,0.4921875,0.01953125,0.01953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.048828125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.0526332123314482,0.001953125,0.001953125,0.001953125,0.00390625,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
"a01-11000",0.556640625,0.02734375,0.001953125,0.001953125,0.001953125,0.00800430976224058,0.00588927004181748,0.001953125,0.00390625,0.00390625,0.083984375,0.625,0.625,0.232421875,0.4921875,0.16015625,0.013671875,0.013671875,0.01953125,0.220069734261296,0.921875,0.6953125,0.232421875,0.193359375,0.16015625,0.16015625,0.322265625,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.0107756211025094,0.037109375,0.556640625,0.6953125,0.6953125,0.322265625,0.275390625,0.193359375,0.193359375,0.009765625,0.184858253798221,1,0.625,0.130859375,0.037109375,0.00390625,0.00390625,0.001953125,0.001953125,0.00390625,0.00390625,0.00390625,0.048828125,0.220971735391012,1,0.4921875,0.307748898302369,0.00390625,0.00390625,0.00390625,0.00390625,0.001953125,0.001953125,0.001953125,0.00390625,0.00390625,1,0.130859375,0.009765625,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,1,0.130859375,0.10546875,0.009765625,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.013671875,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
"a01-11500",0.921875,0.4921875,0.048828125,0.009765625,0.013671875,0.02734375,0.01953125,0.009765625,0.064453125,0.00390625,0.01953125,0.048828125,0.083984375,0.845703125,0.6953125,0.845703125,0.4921875,0.322265625,0.009765625,0.048828125,0.193359375,0.625,0.6953125,0.625,0.6953125,0.431640625,0.76953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.322265625,0.845703125,0.6953125,0.921875,0.76953125,0.845703125,0.556640625,0.00390625,0.048828125,0.16015625,0.322265625,1,0.556640625,0.375,0.275390625,0.048828125,0.001953125,0.001953125,0.001953125,0.001953125,0.009765625,0.16015625,0.4921875,0.76953125,1,0.10546875,0.048828125,0.01953125,0.02734375,0.013671875,0.009765625,0.013671875,0.01953125,0.048828125,0.375,0.6953125,0.16015625,0.00390625,0.00390625,0.00390625,0.001953125,0.001953125,0.001953125,0.322265625,1,0.76953125,0.6953125,0.130859375,0.02734375,0.01953125,0.01953125,0.009765625,0.064453125,0.02734375,0.013671875,0.00390625,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
"a01-12000",0.921875,0.261882594794826,0.02734375,0.00390625,0.005859375,0.00390625,0.001953125,0.001953125,0.005859375,0.00390625,0.048828125,0.193359375,0.322265625,0.76953125,0.921875,0.4921875,0.16015625,0.048828125,0.009765625,0.048828125,0.431640625,0.921875,0.845703125,0.232421875,0.431640625,0.431640625,0.232421875,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.556640625,1,0.845703125,0.322265625,0.232421875,0.556640625,0.322265625,0.001953125,0.02734375,0.375,0.921875,0.76953125,0.431640625,0.130859375,0.16015625,0.01953125,0.001953125,0.001953125,0.001953125,0.001953125,0.009765625,0.16015625,0.76953125,0.921875,0.625,0.013671875,0.001953125,0.00390625,0.00390625,0.001953125,0.00390625,0.00390625,0.001953125,0.001953125,0.76953125,0.193359375,0.083984375,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.6953125,0.625,0.322265625,0.193359375,0.013671875,0.0107756211025094,0.00390625,0.009765625,0.00390625,0.048828125,0.009765625,0.005859375,0.00390625,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
"a01-12500",1,0.130859375,0.009765625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00390625,0.001953125,0.013671875,0.064453125,0.16015625,0.76953125,1,0.375,0.083984375,0.001953125,0.00390625,0.013671875,0.10546875,0.76953125,0.683286329657167,0.375,0.375,0.375,0.275390625,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.005859375,0.322265625,0.76953125,0.6953125,0.4921875,0.556640625,0.845703125,0.4921875,0.001953125,0.013671875,0.4921875,1,0.556640625,0.556640625,0.130859375,0.10546875,0.005859375,0.001953125,0.001953125,0.00390625,0.001953125,0.009765625,0.048828125,0.556640625,1,0.6953125,0.009765625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.683286329657167,0.275390625,0.064453125,0.005859375,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.375,0.4921875,0.322265625,0.083984375,0.00390625,0.001953125,0.001953125,0.00390625,0.001953125,0.083984375,0.00390625,0.001953125,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
"a01-13000",0.322265625,0.048828125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.037109375,0.16015625,1,1,0.4921875,0.431640625,0.130859375,0.01953125,0.005859375,0.001953125,0.037109375,0.6953125,0.431640625,0.130859375,0.10546875,0.064453125,0.037109375,0.048828125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.00390625,0.130859375,0.845703125,0.431640625,0.6953125,0.130859375,0.037109375,0.048828125,0.083984375,0.001953125,0.556640625,0.6953125,0.375,0.232421875,0.048828125,0.037109375,0.02734375,0.005859375,0.001953125,0.001953125,0.005859375,0.013671875,0.064453125,0.556640625,0.921875,0.556640625,0.275390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.322265625,0.037109375,0.009765625,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.556640625,0.083984375,0.037109375,0.037109375,0.013671875,0.0107756211025094,0.00390625,0.005859375,0.00390625,0.009765625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
"a02-9000",0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0.00390625,0.00390625,0.001953125,0.00588927004181748,0.083984375,0.01953125,0.005859375,0.005859375,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0.4921875,0.0829310820849621,0.083984375,0.0189811540949829,0.009765625,0.005859375,0.013671875,0.005859375,0.005859375,0.001953125,0.00390625,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.01953125,0.130859375,0.10546875,0.431640625,0.083984375,0.0143692894436029,0.00390625,0.005859375,0.0107756211025094,0.005859375,0.00390625,0.00390625,0.625,0.0663691292587502,0.02734375,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00390625,0.083984375,0.76953125,0.275390625,0.0829310820849621,0.048828125,0.013671875,0.00800430976224058,0.00390625,0.00390625,0.00390625,0.00800430976224058,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0.005859375,0.00390625,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.005859375,0.00390625,0.00390625,0.00390625,0.00390625,0.001953125,0.00800430976224058,0.00390625,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.00588927004181748,0.001953125,0.001953125
